mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
12	10	61/2	61/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	60				4		
12	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	61						
12	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	62						
12	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	63						
13	11	31	31	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	64				4		
13	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	65						
13	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	66						
13	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	67						
13	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	68						
13	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	69						
13	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	70						
14	12	34	34	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	71						
14	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	72						
14	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	73						
14	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74						
15	13	37	37	0.0	0	0	Spanner	3/4	1	1	0										2
15	13	37	37	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	75						2
15	13	38	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	76						2
15	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	77						2
15	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	78						
15	13	38	38	0.0	1/4	1/4	StaffText	3/4	2	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>cresc.</i>"			
15	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	79						
15	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	80						
16	14	40	40	0.0	0	0	Spanner	3/4	1	1	0										
16	14	40	40	0.0	0	0	Spanner	3/4	1	1	0									2	
16	14	40	40	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	81					2	
16	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	82					2	
16	14	42	42	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	83					2	
16	14	85/2	85/2	0.0	5/8	5/8	Spanner	3/4	1	1	0										
16	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	84						
16	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	85						
