mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	69	-ci-									
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	70	-fi-									2
6	6	20	20	0.75	0	0	Chord	4/4	3	1	3/16	1/8	3/2	71	e-									
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	72										
6	6	21	21	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	73	-tiam									
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	74	pro									
6	6	22	22	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	75	no-									
6	6	45/2	45/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	76										
6	6	91/4	91/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	77										
6	6	23	23	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	78										
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	79										
6	6	20	20	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	80										
6	6	22	22	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	81	-bis.									
6	6	20	20	0.0	0	0	FiguredBass	4/4	5	1	0										1/2	5		
6	6	20	20	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	82										
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	5	1	0										1/4	#		
6	6	22	22	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	83										
6	6	23	23	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	84										
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	85										
7	7	26	26	0.0	1/2	1/2	Dynamic	4/4	1	1	0					f								
